"","sample","group"
"1","GSM1014798","N"
"2","GSM1014799","N"
"3","GSM1014800","N"
"4","GSM1014801","N"
"5","GSM1014802","N"
"6","GSM1014803","T"
"7","GSM1014804","T"
"8","GSM1014805","T"
"9","GSM1014806","T"
"10","GSM1014807","T"
"11","GSM1014808","N"
"12","GSM1014809","N"
"13","GSM1014810","N"
"14","GSM1014811","N"
"15","GSM1014812","N"
"16","GSM1014813","T"
"17","GSM1014814","T"
"18","GSM1014815","T"
"19","GSM1014816","T"
"20","GSM1014817","T"
